@relation Three_activities_data_with__50_window_size_without_overlapping

@attribute mean_x numeric
@attribute mean_y numeric
@attribute mean_z numeric
@attribute magnitude_mean numeric
@attribute std_x numeric
@attribute std_y numeric
@attribute std_z numeric
@attribute magnitude_std numeric
@attribute rms_x numeric
@attribute rms_y numeric
@attribute rms_z numeric
@attribute magnitude_rms numeric
@attribute min_x numeric
@attribute min_y numeric
@attribute min_z numeric
@attribute magnitude_min numeric
@attribute max_x numeric
@attribute max_y numeric
@attribute max_z numeric
@attribute magnitude_max numeric
@attribute median_x numeric
@attribute median_y numeric
@attribute median_z numeric
@attribute magnitude_median numeric
@attribute mad_x numeric
@attribute mad_y numeric
@attribute mad_z numeric
@attribute magnitude_mad numeric
@attribute corr_xy numeric
@attribute corr_yz numeric
@attribute corr_xz numeric
@attribute class {SITTING,STANDING,WALKING}

@data
-1.644151,7.299989,-4.774019,9.194468,1.374718,1.303727,1.601727,0.633384,2.143148,7.415493,5.035552,9.216258,-3.890869,4.947205,-7.264801,7.616315,1.022034,10.116287,-0.647232,10.606999,-1.443993,7.268387,-4.960381,9.253738,1.145463,1.075877,1.239351,0.493521,0.803482,0.755901,0.724554,SITTING
-4.893322,2.375117,-8.347987,10.039573,0.647945,1.077232,0.453523,0.517292,4.936034,2.607989,8.360298,10.052891,-5.834961,0.261749,-9.491409,8.587557,-2.504623,5.095642,-7.20256,11.571552,-4.917984,1.873055,-8.333809,10.034463,0.466141,0.848993,0.334032,0.33142,0.147029,0.330089,0.287061,SITTING
-4.714092,1.146173,-8.77157,10.045569,0.542208,0.410817,0.462359,0.489795,4.745172,1.217573,8.783748,10.057503,-6.40239,-0.492416,-10.326981,9.37208,-3.649048,2.10289,-7.968704,12.08928,-4.677368,1.134445,-8.762375,9.961059,0.364911,0.280063,0.326969,0.301609,0.287382,0.298514,0.050644,SITTING
-4.440626,1.06951,-8.864417,9.972461,0.071734,0.047943,0.063884,0.049366,4.441206,1.070584,8.864647,9.972584,-4.570816,0.944107,-8.995804,9.865092,-4.271545,1.226624,-8.758789,10.071942,-4.436752,1.070999,-8.86174,9.96404,0.059195,0.035829,0.051725,0.042919,0.194947,0.208995,-0.454511,SITTING
-4.375648,0.917478,-8.933562,9.991692,0.120399,0.155448,0.059223,0.069623,4.377304,0.930554,8.933758,9.991934,-4.709686,0.434143,-9.072418,9.69523,-3.85257,1.159576,-8.753998,10.174546,-4.35894,0.938118,-8.938355,10.006441,0.077469,0.11067,0.045394,0.04327,-0.026265,0.537605,-0.00912,SITTING
-4.398009,0.801167,-8.933896,9.991436,0.094129,0.119802,0.117197,0.083684,4.399016,0.810074,8.934665,9.991787,-4.657013,0.472443,-9.165802,9.669087,-4.154236,1.13324,-8.540909,10.203669,-4.404427,0.795654,-8.939552,9.989391,0.065318,0.080033,0.081246,0.053146,0.141484,-0.152128,-0.688271,SITTING
-4.393365,0.7846,-8.944096,9.995779,0.029042,0.016697,0.027091,0.018814,4.393461,0.784778,8.944137,9.995797,-4.460693,0.757355,-9.005386,9.940136,-4.352951,0.826782,-8.873703,10.03633,-4.386475,0.784889,-8.945526,9.996758,0.023969,0.014126,0.02147,0.01547,-0.404792,0.412268,-0.622832,SITTING
-4.365208,0.775213,-8.959227,9.996205,0.01688,0.01071,0.015242,0.016201,4.365241,0.775287,8.95924,9.996218,-4.405624,0.745377,-8.991028,9.952533,-4.321823,0.800446,-8.909622,10.035958,-4.366112,0.775307,-8.9599,9.99397,0.013119,0.008094,0.011329,0.012318,-0.005262,-0.333881,0.06578,SITTING
-4.368225,0.772438,-8.957264,9.995554,0.016968,0.01057,0.017099,0.014703,4.368258,0.77251,8.95728,9.995565,-4.396042,0.752564,-8.995804,9.96093,-4.326614,0.79805,-8.926376,10.036341,-4.36731,0.770515,-8.957504,9.996315,0.013683,0.008657,0.013676,0.01185,-0.1122,-0.012345,-0.333582,SITTING
-4.354338,0.771623,-8.965308,9.996631,0.012124,0.010643,0.015995,0.016729,4.354355,0.771696,8.965322,9.996645,-4.381683,0.747772,-9.005386,9.964368,-4.331406,0.790878,-8.938355,10.040863,-4.351753,0.771713,-8.962296,9.995164,0.010079,0.008719,0.013433,0.014118,0.210417,0.087111,0.32594,SITTING
